slug,entity,local_path,origin_file,source,usage,status
aacr,AACR,public/assets/logos/aacr.png,assets/source/logos/aacr.png,"official website, manually trimmed — https://www.aacr.org","conferences.json, speakers.json, vision-board.json",ok
astrazeneca,AstraZeneca,public/assets/logos/astrazeneca.png,assets/source/logos/astrazeneca.png,"official website, manually trimmed — https://www.astrazeneca.com","collaborations.json, experience.json, vision-board.json",ok
biorxiv,bioRxiv,public/assets/logos/biorxiv.png,assets/source/logos/biorxiv.png,"official website, manually trimmed — https://www.biorxiv.org",publications.json,ok
broad-institute,Broad Institute,public/assets/logos/broad-institute.png,assets/source/logos/broad-institute.png,"official website, manually trimmed — https://www.broadinstitute.org","collaborations.json, vision-board.json",ok
eu-research-consortium,PERSIST-SEQ EU Consortium,public/assets/logos/eu-research-consortium.png,assets/source/logos/eu-research-consortium.png,"official website, manually trimmed — https://persist-seq.org",collaborations.json,ok
gaia,GAIA Conference,public/assets/logos/gaia.png,assets/source/logos/gaia.png,"official website, manually trimmed — https://www.gaia.fish/2025",speakers.json,ok
iit-madras,IIT Madras,public/assets/logos/iit-madras.png,assets/source/logos/iit-madras.png,"official website, manually trimmed — https://www.iitm.ac.in","collaborations.json, profile.json (vision collaborations)",ok
jitc,Journal for ImmunoTherapy of Cancer,public/assets/logos/jitc.png,assets/source/logos/jitc.png,"official website, manually trimmed — https://jitc.bmj.com",publications.json,ok
kaggle,Kaggle,public/assets/logos/kaggle.png,assets/source/logos/kaggle.png,"official website, manually trimmed — https://www.kaggle.com",vision-board.json,ok
cshl,Cold Spring Harbor Laboratory,public/assets/logos/cshl.png,assets/source/logos/cshl.png,"official website, manually trimmed — https://www.cshl.edu",profile.json (vision collaborations),ok
hcl,HCLTech,public/assets/logos/hcl.png,assets/source/logos/hcl.png,"official SVG — https://www.hcltech.com/themes/custom/hcltech/images/hcltech-logo.svg (transparent wordmark)",experience.json,ok
healthware,Healthware,public/assets/logos/healthware.png,assets/source/logos/healthware.png,"official website, manually trimmed — https://healthwareindia.com",experience.json,ok
htic,"HTIC, IIT Madras",public/assets/logos/htic.png,assets/source/logos/htic.png,"official website, manually trimmed — https://www.hticiitm.org",experience.json,ok
srec,Sri Ramakrishna Engineering College,public/assets/logos/srec.png,assets/source/logos/srec.png,"official website, manually trimmed — https://srec.ac.in",education.json,ok
brain,"Multimodal AI concept mark",public/assets/logos/brain.png,assets/source/logos/brain.png,"generated concept mark (image_gen) — brain + modality nodes, accent #6C2FBF",vision-board.json,ok
riken-bsi,RIKEN Brain Science Institute,public/assets/logos/riken-bsi.png,assets/source/logos/riken-bsi.png,"official website — https://bsi.riken.jp/common/img/site_logo_pageheader.png",profile.json (vision collaborations),ok
uppsala-university,Uppsala University,public/assets/logos/uppsala-university.png,assets/source/logos/logo_uppsala.png,"official website, manually trimmed — https://www.uu.se/en",collaborations.json,ok
ai-sweden,AI Sweden,public/assets/logos/ai-sweden.png,logo_ai_sweden.png (repo root),user-provided official mark — https://www.ai.se/en,collaborations.json,ok
achievement-award,Achievement award glyph,public/assets/logos/logo_achievement_award.svg,icon_box/icon_achievement_award.png,"pipeline — batch-icon-generate.sh (light)",vision-board.json (orgCards),ok
analytics-dashboard,Analytics dashboard glyph,public/assets/logos/logo_analytics_dashboard.svg,icon_box/icon_analytics_dashboard.png,"pipeline — batch-icon-generate.sh (light)",vision-board.json (orgCards),ok
business-presentation,Business presentation glyph,public/assets/logos/logo_business_presentation.svg,icon_box/icon_business_presentation.png,"pipeline — batch-icon-generate.sh (light)",vision-board.json (orgCards),ok
financial-growth,Financial growth glyph,public/assets/logos/logo_financial_growth.svg,icon_box/icon_financial_growth.png,"pipeline — batch-icon-generate.sh (light)",vision-board.json (orgCards),ok
global-location,Global location glyph,public/assets/logos/logo_global_location.svg,icon_box/icon_global_location.png,"pipeline — batch-icon-generate.sh (light)",vision-board.json (orgCards),ok
target-goal-box,Target goal (box set) glyph,public/assets/logos/logo_target_goal_box.svg,pipeline output (svg-icon-generator.py),"generated glyph — prior pipeline run",vision-board.json (orgCards),ok
team-growth,Team growth glyph,public/assets/logos/logo_team_growth.svg,icon_box/icon_team_growth.png,"pipeline — batch-icon-generate.sh (light)",vision-board.json (orgCards),ok
drug-safety,Drug Safety composite glyph,public/assets/logos/logo_drug_safety.svg,icon_box/icon_drug_safety.png,"pipeline — svg-icon-generator.py (colored-glyph); source cropped from Impact.jpg reference",vision-board.json (programs),ok
target-goal,Target goal glyph,public/assets/logos/logo_target_goal.svg,icon_kaggle/icon_target_goal.png,"pipeline — batch-icon-generate.sh (alpha-glyph)",vision-board.json (hubs),ok
innovation-idea,Innovation idea glyph,public/assets/logos/logo_innovation_idea.svg,icon_kaggle/icon_innovation_idea.png,"pipeline — batch-icon-generate.sh (alpha-glyph)",vision-board.json (hubs),ok
learning-education,Learning education glyph,public/assets/logos/logo_learning_education.svg,icon_kaggle/icon_learning_education.png,"pipeline — batch-icon-generate.sh (alpha-glyph)",vision-board.json (hubs),ok
partnership-handshake,Partnership handshake glyph,public/assets/logos/logo_partnership_handshake.svg,icon_kaggle/icon_partnership_handshake.png,"pipeline — batch-icon-generate.sh (alpha-glyph)",vision-board.json (hubs),ok
performance-growth,Performance growth glyph,public/assets/logos/logo_performance_growth.svg,icon_kaggle/icon_performance_growth.png,"pipeline — batch-icon-generate.sh (alpha-glyph)",vision-board.json (hubs),ok
global-analytics,Global analytics glyph,public/assets/logos/logo_global_analytics.svg,icon_kaggle/icon_global_analytics.png,"pipeline — batch-icon-generate.sh (alpha-glyph)",vision-board.json (hubs),ok
cube-3d,3D cube glyph,public/assets/logos/logo_cube_3d.svg,icon_multimodal/icon_cube_3d.png,"pipeline — batch-icon-generate.sh (colored-glyph)",vision-board.json (hubs),ok
document-file,Document file glyph,public/assets/logos/logo_document_file.svg,icon_multimodal/icon_document_file.png,"pipeline — batch-icon-generate.sh (colored-glyph)",vision-board.json (hubs),ok
grid-table,Grid table glyph,public/assets/logos/logo_grid_table.svg,icon_multimodal/icon_grid_table.png,"pipeline — batch-icon-generate.sh (colored-glyph)",vision-board.json (hubs),ok
network-nodes,Network nodes glyph,public/assets/logos/logo_network_nodes.svg,icon_multimodal/icon_network_nodes.png,"pipeline — batch-icon-generate.sh (colored-glyph)",vision-board.json (hubs),ok
photo-image,Photo image glyph,public/assets/logos/logo_photo_image.svg,icon_multimodal/icon_photo_image.png,"pipeline — batch-icon-generate.sh (colored-glyph)",vision-board.json (hubs),ok
pulse-activity,Pulse activity glyph,public/assets/logos/logo_pulse_activity.svg,icon_multimodal/icon_pulse_activity.png,"pipeline — batch-icon-generate.sh (colored-glyph)",vision-board.json (hubs),ok
