path,category,type,git_tracked,location_correct,action,notes
README.md,config,md,yes,yes,keep,Project overview and quick-start guide
AGENTS.md,config,md,yes,yes,keep,AI/agent coding guidelines for this repo
astro.config.mjs,config,mjs,yes,yes,keep,Astro config and SITE_URL single source of truth
package.json,config,json,yes,yes,keep,Pinned dependencies including @astrojs/sitemap 3.6.0
package-lock.json,config,json,yes,yes,keep,Locked dependency tree
tsconfig.json,config,json,yes,yes,keep,TypeScript strict mode plus path aliases
.gitignore,config,gitignore,yes,yes,keep,Build output and OS/editor noise exclusions
.github/workflows/deploy.yml,ci,yml,yes,yes,keep,GitHub Pages deployment workflow (npm ci + build + deploy-pages)
.vscode/extensions.json,tooling,json,yes,yes,keep,Recommends astro-build.astro-vscode (only tracked .vscode file)
.vscode/settings.json,tooling,json,no,yes,keep,Local only: file watcher excludes dist/ and .astro/
.vscode/tasks.json,tooling,json,no,yes,keep,Local only: Astro dev server task pinned to port 4321
.astro/settings.json,tooling,json,no,yes,keep,Auto-generated by Astro CLI (gitignored)
.astro/types.d.ts,tooling,d.ts,no,yes,keep,Auto-generated Astro type declarations (gitignored)
.claude/settings.local.json,tooling,json,no,yes,keep,Local Claude Code permission allowlist (gitignored)
~/.agentmemory/projects/shared.db,artifact,db,no,no,delete,Misplaced MCP agent-memory DB; ~ is a literal directory at repo root
content/README.md,content,md,yes,yes,keep,Content layer provenance and curation rules
content/site.json,content,json,yes,yes,keep,Site meta / nav pages / section visibility / SEO defaults / theme
content/person/profile.json,content,json,yes,yes,keep,Hero / About / Contact / Vision / Leadership copy
content/person/affiliations.json,content,json,yes,yes,keep,Organisation affiliations list
content/work/experience.json,content,json,yes,yes,keep,Full career history (6 roles with projects and bullets)
content/work/projects.json,content,json,yes,yes,keep,8 headline project cards derived from experience
content/work/skills.json,content,json,yes,yes,keep,6 skill categories with tools and technologies
content/work/mentorship.json,content,json,yes,yes,keep,Mentorship programme details (2 items)
content/work/strategic-impact.json,content,json,yes,yes,keep,Strategic impact metrics (7 fund-level items)
content/research/generative-ai.json,content,json,yes,yes,keep,Generative AI research interests (3 items)
content/research/publications.json,content,json,yes,yes,keep,Published works with links (3 items)
content/research/conferences.json,content,json,yes,yes,keep,Conference speaking engagements with links
content/recognition/education.json,content,json,yes,yes,keep,Degree record
content/recognition/awards.json,content,json,yes,yes,keep,Honours and recognition (7 items)
content/recognition/kaggle.json,content,json,yes,yes,keep,Kaggle competition results (compact list)
docs/README.md,docs,md,yes,yes,keep,Documentation index with section map
docs/getting-started.md,docs,md,yes,yes,keep,Install / dev / build / preview instructions
docs/go-live-checklist.md,docs,md,yes,yes,keep,Step-by-step GitHub Pages publishing guide
docs/content-editing.md,docs,md,yes,yes,keep,How to change site copy via JSON files
