Location,Original Sentence,Rewritten Sentence
00_site › Tagline,Hands-on Technical AI Lead - turning data into business impact through AI.,Hands-on Technical AI Lead - translating data into business impact through AI.
00_site › SEO (About page),"Hands-on Technical AI Lead with 12+ years spanning product, services, and startup environments, delivering enterprise AI systems with multimillion-dollar business impact at AstraZeneca.","Hands-on Technical AI Lead with 12+ years spanning product, services, and startup environments, delivering enterprise AI systems with multimillion-dollar business impact at AstraZeneca."
00_site › SEO (About page),Ranked top 0.3% globally on Kaggle (652/200K+ data scientists).,Ranked top 0.3% globally on Kaggle (652/200K+ data scientists).
00_site › SEO (Experience page),"Delivering AI programs across Oncology, Biopharma R&D, and CPSS - supporting AstraZeneca's 3 R&D priority areas over 3 consecutive years, with role-by-role impact across drug safety, oncology, and clinical imaging.","Delivering AI programs across Oncology, Biopharma R&D, and CPSS - supporting AstraZeneca's 3 R&D priority areas over 3 consecutive years, with role-by-role impact across drug safety, oncology, and clinical imaging."
00_site › SEO (Research page),"Publications, conference talks, and speaking engagements across medical imaging and drug development.","Publications, conference talks, and speaking engagements across medical imaging and drug development."
00_site › SEO (Recognition page),"Awards & Recognition, Kaggle competition results (top 0.3% globally, 652/200K+ data scientists), and education.","Awards & Recognition, Kaggle competition results (top 0.3% globally, 652/200K+ data scientists), and education."
00_site › SEO (Vision page),"AI leadership & strategic impact - from a Kaggle idea to executive-sponsored programs across drug safety, oncology, and global research partnerships.","AI leadership & strategic impact - from a Kaggle idea to executive-sponsored programs across drug safety, oncology, and global research partnerships."
00_site › SEO (Contact page),"Get in touch with Balaji Selvaraj, Technical AI Leader based in Gothenburg, Sweden.","Get in touch with Balaji Selvaraj, Technical AI Leader based in Gothenburg, Sweden."
00_site › SEO (site default),"Hands-on Technical AI Lead with 12+ years spanning product, services, and startup environments, delivering enterprise AI systems with multimillion-dollar business impact at AstraZeneca.","Hands-on Technical AI Lead with 12+ years spanning product, services, and startup environments, delivering enterprise AI systems with multimillion-dollar business impact at AstraZeneca."
00_site › SEO (site default),Ranked top 0.3% globally on Kaggle (652/200K+ data scientists).,Ranked top 0.3% globally on Kaggle (652/200K+ data scientists).
00_site › 404 description,The page you were looking for could not be found.,We couldn't find the page you were looking for.
00_site › 404 message,The page you were looking for doesn't exist or may have moved.,The page you were looking for doesn't exist or may have moved.
01_about › Hero subtitle,Helping global organizations transform advanced AI into production systems that deliver measurable business value.,Helping global organizations transform advanced AI into production systems that deliver measurable business value.
01_about › Hero quote (translation),Let all your thoughts be lofty.,Let all your thoughts be lofty.
01_about › About intro,"Hands-on Technical AI Lead with 12+ years spanning product, services, and startup environments.","Hands-on Technical AI Lead with 12+ years spanning product, services, and startup environments."
01_about › Strategy & Sponsorship,"Secured executive sponsorship and forged alignment around a shared strategic direction, transforming 5 exploratory initiatives into 2 funded, enterprise-scale programs.","Secured executive sponsorship and forged alignment around a shared strategic direction, transforming 5 exploratory initiatives into 2 funded, enterprise-scale programs."
01_about › Strategy & Sponsorship,Established a newly formed AI team as a trusted enterprise partner across 7 internal business groups and 3 startups through differentiated AI capabilities aligned to strategic business needs.,Positioned a newly formed AI team as a trusted enterprise partner across 7 internal business groups and 3 startups by aligning differentiated AI capabilities to strategic business needs.
01_about › Strategy & Sponsorship,"Delivered AI programs across Oncology, Biopharma R&D, and CPSS, aligning with AstraZeneca's 3 R&D priority areas over 3 consecutive years.","Delivered AI programs across Oncology, Biopharma R&D, and CPSS, aligning with AstraZeneca's 3 R&D priority areas over 3 consecutive years."
01_about › Strategy & Sponsorship,"Authored a multimodal AI vision aligned with AstraZeneca's 2030 Gene & Cell Therapy strategy, later submitted to Gartner by GITC Chennai.","Authored a multimodal AI vision aligned with AstraZeneca's 2030 Gene & Cell Therapy strategy, which GITC Chennai later submitted to Gartner."
01_about › Business Impact,"Secured and delivered a $3M+ SVP-sponsored drug safety initiative, developing predictive AI toxicology models projected to save $20M-$50M annually.","Secured and delivered a $3M+ SVP-sponsored drug safety initiative, developing predictive AI toxicology models projected to save $20M-$50M annually."
01_about › Business Impact,"Accelerated drug safety programs by 2 years, reducing study timelines from 5 years to 3 through predictive AI toxicology.","Accelerated drug safety programs by 2 years, reducing study timelines from 5 years to 3 through predictive AI toxicology."
01_about › Business Impact,"Optimized the AI investment portfolio, recovering approximately 6 months of delivery capacity while reducing infrastructure costs.","Optimized the AI investment portfolio, recovering approximately 6 months of delivery capacity while reducing infrastructure costs."
01_about › Platform & Infrastructure,"Established and deployed a foundation-model platform that standardized training, inference, and evaluation across 3 clinical imaging modalities and 3 internal infrastructures.","Established and deployed a foundation-model platform that standardized training, inference, and evaluation across 3 clinical imaging modalities and 3 internal infrastructures."
01_about › Platform & Infrastructure,"Developed production AI pipelines within AstraZeneca's GxP-compliant platform, supporting validated, traceable, and audit-ready AI deployment.","Developed production AI pipelines within AstraZeneca's GxP-compliant platform, supporting validated, traceable, and audit-ready AI deployment."
01_about › Platform & Infrastructure,"Implemented distributed training pipelines with FSDP and DeepSpeed, reducing training bottlenecks and enabling enterprise-scale foundation model development.","Implemented distributed training pipelines with FSDP and DeepSpeed, reducing training bottlenecks and enabling enterprise-scale foundation model development."
01_about › Platform & Infrastructure,Designed a cost-efficient AI tooling strategy that reduced annual licensing costs by $40K while preserving enterprise capabilities.,Designed a cost-efficient AI tooling strategy that reduced annual licensing costs by $40K while preserving enterprise capabilities.
01_about › Team & Organization Building,"Built and led a multicultural AI engineering team spanning 5 countries, scaling from 1 to 12 engineers.","Built and led a multicultural AI engineering team spanning 5 countries, scaling from 1 to 12 engineers."
01_about › Team & Organization Building,"Guided 10 AI/ML graduate trainees in technical and professional development, with 8 transitioning to full-time industry roles and 2 pursuing higher education.","Guided 10 AI/ML graduate trainees in technical and professional development, with 8 transitioning to full-time industry roles and 2 pursuing higher education."
01_about › Team & Organization Building,"Developed and coached a team of 3 junior engineers to earn a Kaggle Bronze Medal, ranking 76th of 1,220 teams (Top 6%).","Developed and coached a team of 3 junior engineers to earn a Kaggle Bronze Medal, ranking 76th of 1,220 teams (Top 6%)."
01_about › Team & Organization Building,Guided a 4-student team to a Top 4 national finish at the Smart India Hackathon (2019).,Guided a 4-student team to a Top 4 national finish at the Smart India Hackathon (2019).
01_about › Responsible AI & Data Governance,"Designed and delivered AI solutions aligned with EU AI Act requirements for high-risk clinical AI, embedding transparency, human oversight, audit logging, and governance controls into the solution architecture.","Designed and delivered AI solutions aligned with EU AI Act requirements for high-risk clinical AI, embedding transparency, human oversight, audit logging, and governance controls into the solution architecture."
01_about › Responsible AI & Data Governance,Ensured AI pipelines processing patient and clinical data complied with GDPR and HIPAA by embedding privacy and regulatory controls into the data architecture.,Ensured AI pipelines processing patient and clinical data complied with GDPR and HIPAA by embedding privacy and regulatory controls into the data architecture.
01_about › Responsible AI & Data Governance,"Governed AI training data in line with FAIR (Findable, Accessible, Interoperable, Reusable) principles, enabling scientifically rigorous, interoperable, and reusable datasets across clinical studies and AI models.","Governed AI training data in line with FAIR (Findable, Accessible, Interoperable, Reusable) principles, enabling scientifically rigorous, interoperable, and reusable datasets across clinical studies and AI models."
01_about › Collaborations (Broad Institute),"Co-developing computational pipelines for Cell Painting and omics with Dr. Shantanu Singh (Senior Group Leader, Broad Institute)","Co-developing computational pipelines for Cell Painting and omics with Dr. Shantanu Singh (Senior Group Leader, Broad Institute)"
01_about › Collaborations (Cold Spring Harbor Laboratory),Neuron connectivity toolbox delivered to Dr. Partha Mitra,Delivered a neuron connectivity toolbox to Dr. Partha Mitra.
01_about › Collaborations (IIT Madras),Research collaboration co-developing advanced AI models and computational pipelines,Research collaboration co-developing advanced AI models and computational pipelines
01_about › Collaborations (Uppsala University),Research collaboration on AI models and computational pipelines,Research collaboration on AI models and computational pipelines
01_about › Collaborations (AI Sweden),Master's thesis pipeline and Digital Twins initiative for drug discovery,Master's thesis pipeline and Digital Twins initiative for drug discovery
02_experience › Intro,"12+ years of experience building and leading production AI across drug safety, oncology, and clinical imaging - translating executive-sponsored research into measurable, multimillion-dollar business outcomes.","12+ years of experience building and leading production AI across drug safety, oncology, and clinical imaging - translating executive-sponsored research into measurable, multimillion-dollar business outcomes."
02_experience › Blurb (AstraZeneca · Sweden),"Leads production AI across drug-safety, oncology, and clinical-imaging programs.","Leads production AI across drug-safety, oncology, and clinical-imaging programs."
02_experience › Drug Safety AI Platform,"AI Lead on a $3M+ SVP-sponsored drug safety initiative; predictive toxicology models projected to save $20M-$50M annually, reducing animal studies and compressing timelines from 5 to 3 years.","AI Lead on a $3M+ SVP-sponsored drug safety initiative; predictive toxicology models projected to save $20M-$50M annually, reducing animal studies and compressing timelines from 5 to 3 years."
02_experience › Drug Safety AI Platform,"Architected a model-agnostic multimodal AI platform integrating omics, imaging, and molecular features for drug safety prediction at scale.","Architected a model-agnostic multimodal AI platform integrating omics, imaging, and molecular features for drug safety prediction at scale."
02_experience › Drug Safety AI Platform,"Structured the platform for cross-assay, cross-compound scalability, integrating multi-vendor biological data across heterogeneous modalities.","Structured the platform for cross-assay, cross-compound scalability, integrating multi-vendor biological data across heterogeneous modalities."
02_experience › Drug Safety AI Platform,"Productionized ML pipelines with online learning, confidence estimation, multimodal augmentation, and joint embedding for drug safety prediction.","Productionized ML pipelines with online learning, confidence estimation, multimodal augmentation, and joint embedding for drug safety prediction."
02_experience › Drug Safety AI Platform,"Coordinated 3 parallel drug safety delivery streams with a 12-member team, managing stakeholders, resources, risks, and technical direction.","Coordinated 3 parallel drug safety delivery streams with a 12-member team, managing stakeholders, resources, risks, and technical direction."
02_experience › Drug Safety AI Platform,"Initiated collaboration with Dr. Shantanu Singh (Senior Group Leader, Broad Institute) on computational pipelines for Cell Painting and omics.","Initiated collaboration with Dr. Shantanu Singh (Senior Group Leader, Broad Institute) on computational pipelines for Cell Painting and omics."
02_experience › Tumor Recurrence Prediction,AI Lead for a Chief Scientist-sponsored oncology initiative developing a novel tumor recurrence prediction pipeline using single-cell transcriptomics.,AI Lead for a Chief Scientist-sponsored oncology initiative developing a novel tumor recurrence prediction pipeline using single-cell transcriptomics.
02_experience › Tumor Recurrence Prediction,"Developed a pipeline generalizable across drugs, treatment conditions, and heterogeneous data sources (organoids, xenografts, and clinical studies).","Developed a pipeline generalizable across drugs, treatment conditions, and heterogeneous data sources (organoids, xenografts, and clinical studies)."
02_experience › Tumor Recurrence Prediction,Integrated Med-PaLM LLM embeddings and AZ Biological Insights Knowledge Graph representations to enrich model inputs and improve signal quality.,Integrated Med-PaLM LLM embeddings and AZ Biological Insights Knowledge Graph representations to enrich model inputs and improve signal quality.
02_experience › Tumor Recurrence Prediction,Achieved 90% F1 on internal benchmarks across Osimertinib-treated cell lines and improved 13%+ over state-of-the-art baselines on public datasets.,Achieved 90% F1 on internal benchmarks across Osimertinib-treated cell lines and improved 13%+ over state-of-the-art baselines on public datasets.
02_experience › Tumor Recurrence Prediction,Reduced pipeline compute time by 30% via Optuna-driven hyperparameter search and systematic profiling across training and evaluation stages.,Reduced pipeline compute time by 30% via Optuna-driven hyperparameter search and systematic profiling across training and evaluation stages.
02_experience › Tumor Recurrence Prediction,"Led a 2-member engineering team over 6 months, setting technical direction, experimentation strategy, roadmap ownership, and end-to-end delivery.","Led a 2-member engineering team over 6 months, setting technical direction and experimentation strategy while owning the roadmap and end-to-end delivery."
02_experience › Foundation Model Framework,Established a reusable cross-platform framework to accelerate imaging use-case onboarding and enable rapid experimentation and deployment.,Established a reusable cross-platform framework to accelerate imaging use-case onboarding and enable rapid experimentation and deployment.
02_experience › Foundation Model Framework,"Designed the framework to standardize training, inference, and evaluation of vision foundation models, and deployed it across 3 internal infrastructures.","Designed the framework to standardize training, inference, and evaluation of vision foundation models, and deployed it across 3 internal infrastructures."
02_experience › Foundation Model Framework,"Scaled the framework across 3 clinical imaging modalities - CT, Endoscopy, and Echocardiography - and 3 internal AZ infrastructures.","Scaled the framework across 3 clinical imaging modalities - CT, Endoscopy, and Echocardiography - and 3 internal AZ infrastructures."
02_experience › Foundation Model Framework,Deployed the endoscopy vision model and inference pipeline in a clinical study for ranking gastrointestinal tissue damage severity.,Deployed the endoscopy vision model and inference pipeline in a clinical study for ranking gastrointestinal tissue damage severity.
